model,rmse,ndcg@10,fit_time_sec,n_iter
Собственный SLIM,0.25919489728634426,0.10591547962562768,0.027002904000255512,6
sklearn ElasticNet SLIM,0.2591846585233358,0.10565423388441644,0.535599689999799,245
Собственная LSA,0.24444280869719495,0.08110925567898798,0.0651941899996018,45
sklearn TruncatedSVD,0.24440941740102662,0.08375709543015938,0.03055084699917643,45
