model,log_likelihood,bic,aic,accuracy,ari,fit_time_sec,n_iter,converged
Собственная GMM,-1.9368742754723485,801.5302355819398,669.0622826417045,0.9666666666666667,0.9038742317748124,0.13366111700088368,23,True
sklearn GMM,-1.9368742935425378,801.5302410029966,669.0622880627614,0.9666666666666667,0.9038742317748124,0.18901681799979997,23,True
